YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1960   3   5    32766.0       12.4       18.1        5.7        1.7    32766.0       87.0        0.0      965.0    32766.0    32766.0      14.3       1.7
1960   3   6    32766.0       16.5       22.2       11.8        0.6    32766.0       82.0        0.0      959.7    32766.0    32766.0      20.1       2.8
1960   3   7    32766.0       17.8       22.4       13.2        2.0    32766.0       85.0        0.0      959.7    32766.0    32766.0      20.2       3.1
1960   3   8    32766.0       15.6       18.8       14.6        3.0    32766.0       89.0        4.7      959.7    32766.0    32766.0      15.5       0.7
1960   3   9    32766.0       14.1       15.7       12.2        2.3    32766.0       85.0        0.1      963.2    32766.0    32766.0      14.6       1.4
1960   3  10    32766.0       14.8       21.8        8.6        2.0    32766.0       87.0        0.0      961.1    32766.0    32766.0      17.7       3.1
1960   3  11    32766.0       16.0       23.1        9.7        1.4    32766.0       82.0        0.1      959.5    32766.0    32766.0      19.4       3.1
1960   3  12    32766.0       17.2       21.8       12.1        3.2    32766.0       77.0        0.0      966.7    32766.0    32766.0      17.4       3.2
1960   3  13    32766.0        9.1       19.2        5.5        5.9    32766.0       87.0       19.3      969.4    32766.0    32766.0       9.8       0.4
1960   3  14    32766.0        7.7        9.3        6.3        1.7    32766.0       83.0        0.0      974.2    32766.0    32766.0       9.8       1.0
1960   3  15    32766.0        9.2       10.9        7.8        1.2    32766.0       90.0        0.0      970.5    32766.0    32766.0      10.5       1.7
1960   3  16    32766.0       10.4       12.7        8.9        2.0    32766.0       84.0        0.0      971.2    32766.0    32766.0      10.5       0.9
1960   3  17    32766.0       11.7       15.9        8.3        2.0    32766.0       83.0        0.0      970.0    32766.0    32766.0      15.4       2.0
1960   3  18    32766.0       10.8       13.5        9.1        3.8    32766.0       91.0        0.7      968.0    32766.0    32766.0      12.6       1.1
1960   3  19    32766.0       11.3       14.9        8.0        0.6    32766.0       86.0        0.4      969.0    32766.0    32766.0      13.8       2.0
1960   3  20    32766.0       12.3       18.1        7.7        0.9    32766.0       87.0        2.6      969.7    32766.0    32766.0      13.6       2.6
1960   3  21    32766.0       12.3       13.9       10.3        0.6    32766.0       91.0        0.0      968.7    32766.0    32766.0      12.5       0.4
1960   3  22    32766.0       13.6       16.2       11.7        1.4    32766.0       80.0        0.2      966.5    32766.0    32766.0      13.9       1.2
1960   3  23    32766.0       15.6       19.9       11.9        2.6    32766.0       76.0        0.0      958.4    32766.0    32766.0      14.4       3.7
