YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1958   3   6        2.5       11.8       15.9        9.4        3.0    32766.0       71.0        0.0    32766.0    32766.0    32766.0   32766.0       4.0
1958   3   7        4.6       11.9       16.5        8.6        2.3    32766.0       59.0        0.0    32766.0    32766.0    32766.0   32766.0       4.9
1958   3   8        4.3       12.8       18.5        8.2        2.0    32766.0       52.0        0.0    32766.0    32766.0    32766.0   32766.0       5.9
1958   3   9        3.5       13.1       20.5        8.7        1.8    32766.0       70.0        0.0    32766.0    32766.0    32766.0   32766.0       4.8
1958   3  10        2.6       14.5       19.7       11.3        2.0    32766.0       85.0        0.0    32766.0    32766.0    32766.0   32766.0       3.1
1958   3  11        6.4       19.6       28.2       14.2        4.0    32766.0       80.0        0.0    32766.0    32766.0    32766.0   32766.0       7.3
1958   3  12        7.6       18.1       25.8       10.6        1.3    32766.0       73.0        0.0    32766.0    32766.0    32766.0   32766.0       5.8
1958   3  13        5.5       20.7       27.6       15.4        3.3    32766.0       63.0        0.0    32766.0    32766.0    32766.0   32766.0       7.1
1958   3  14        9.6       21.1       30.2       13.8        1.5    32766.0       57.0        0.0    32766.0    32766.0    32766.0   32766.0      10.1
1958   3  15        7.8       21.0       30.3       11.5        2.3    32766.0       55.0        0.0    32766.0    32766.0    32766.0   32766.0       9.2
1958   3  16        9.3       21.4       31.7       13.0        2.0    32766.0       58.0        0.0    32766.0    32766.0    32766.0   32766.0      11.4
1958   3  17        4.6       15.4       23.7       13.0        2.8    32766.0       71.0        0.0    32766.0    32766.0    32766.0   32766.0       5.7
1958   3  18        9.3       15.7       25.3        8.1        1.5    32766.0       69.0        0.3    32766.0    32766.0    32766.0   32766.0       6.7
1958   3  19        6.0       17.5       25.4       12.0        1.5    32766.0       66.0        0.0    32766.0    32766.0    32766.0   32766.0       5.3
1958   3  20        0.0       14.9       19.7       11.6        3.8    32766.0       75.0        0.3    32766.0    32766.0    32766.0   32766.0       3.1
1958   3  21        0.0       15.3       19.6       12.4        0.8    32766.0       79.0        0.0    32766.0    32766.0    32766.0   32766.0       2.6
1958   3  22        4.6       16.3       22.7       13.0        2.0    32766.0       83.0        0.6    32766.0    32766.0    32766.0   32766.0       3.6
1958   3  23        9.5       20.9       29.1       14.3        2.5    32766.0       61.0        0.0    32766.0    32766.0    32766.0   32766.0       9.2
1958   3  24        8.0       21.3       29.0       15.8        1.3    32766.0       71.0        0.0    32766.0    32766.0    32766.0   32766.0       6.9
