Date,TemAver,SID,year,season
1987-09-08,21.0,56280,1987,1
1987-09-09,20.6,56280,1987,1
1987-09-10,19.2,56280,1987,1
1987-09-11,19.2,56280,1987,1
1987-09-12,19.0,56280,1987,1
1987-09-13,19.2,56280,1987,1
1987-09-14,18.4,56280,1987,1
1987-09-15,18.0,56280,1987,1
1987-09-16,19.3,56280,1987,1
1987-09-17,21.1,56280,1987,1
1987-09-18,22.0,56280,1987,1
1987-09-19,21.7,56280,1987,1
1987-09-20,22.3,56280,1987,1
1987-09-21,21.5,56280,1987,1
1987-09-22,20.4,56280,1987,1
1987-09-23,18.6,56280,1987,1
1987-09-24,18.3,56280,1987,1
1987-09-25,19.8,56280,1987,1
1987-09-26,18.6,56280,1987,1
1987-09-27,17.2,56280,1987,1
1987-09-28,17.5,56280,1987,1
1987-09-29,19.4,56280,1987,1
1987-09-30,19.6,56280,1987,1
1987-10-01,19.6,56280,1987,1
1987-10-02,20.1,56280,1987,1
1987-10-03,20.7,56280,1987,1
1987-10-04,20.7,56280,1987,1
1987-10-05,20.8,56280,1987,1
1987-10-06,20.9,56280,1987,1
1987-10-07,21.5,56280,1987,1
1987-10-08,20.3,56280,1987,1
1987-10-09,21.1,56280,1987,1
1987-10-10,19.8,56280,1987,1
1987-10-11,20.3,56280,1987,1
1987-10-12,20.6,56280,1987,1
1987-10-13,21.0,56280,1987,1
1987-10-14,18.8,56280,1987,1
1987-10-15,18.1,56280,1987,1
1987-10-16,18.1,56280,1987,1
1987-10-17,14.2,56280,1987,1
1987-10-18,11.4,56280,1987,1
1987-10-19,11.6,56280,1987,1
1987-10-20,10.3,56280,1987,1
1987-10-21,11.2,56280,1987,1
1987-10-22,11.4,56280,1987,1
1987-10-23,12.8,56280,1987,1
1987-10-24,15.3,56280,1987,1
1987-10-25,15.1,56280,1987,1
1987-10-26,15.8,56280,1987,1
1987-10-27,15.4,56280,1987,1
1987-10-28,16.4,56280,1987,1
1987-10-29,15.3,56280,1987,1
1987-10-30,16.0,56280,1987,1
1988-05-31,21.0,56280,1988,1
1988-06-01,22.1,56280,1988,1
1988-06-02,23.8,56280,1988,1
1988-06-03,25.1,56280,1988,1
1988-06-04,25.7,56280,1988,1
1988-06-05,22.6,56280,1988,1
1988-06-06,22.8,56280,1988,1
1988-06-07,23.8,56280,1988,1
1988-06-08,24.7,56280,1988,1
1988-06-09,23.0,56280,1988,1
1988-06-10,22.3,56280,1988,1
1988-06-11,21.8,56280,1988,1
1988-06-12,22.7,56280,1988,1
1988-06-13,22.5,56280,1988,1
1988-06-14,24.3,56280,1988,1
1988-06-15,24.0,56280,1988,1
1988-06-16,20.9,56280,1988,1
1988-06-17,20.2,56280,1988,1
1988-06-18,21.2,56280,1988,1
1988-06-19,23.9,56280,1988,1
1988-06-20,24.0,56280,1988,1
1988-06-21,23.2,56280,1988,1
1988-06-22,24.1,56280,1988,1
1988-06-23,26.5,56280,1988,1
1988-06-24,25.4,56280,1988,1
1988-06-25,24.7,56280,1988,1
1988-06-26,24.5,56280,1988,1
1988-06-27,24.8,56280,1988,1
1988-06-28,25.2,56280,1988,1
1988-06-29,26.7,56280,1988,1
1988-06-30,26.9,56280,1988,1
1988-07-01,24.6,56280,1988,1
1988-07-02,19.4,56280,1988,1
1988-07-03,20.2,56280,1988,1
1988-07-04,21.6,56280,1988,1
1988-07-05,21.9,56280,1988,1
1988-07-06,23.5,56280,1988,1
1988-07-07,23.0,56280,1988,1
1988-07-08,24.1,56280,1988,1
1988-07-09,23.2,56280,1988,1
1988-07-10,24.2,56280,1988,1
1988-07-11,24.4,56280,1988,1
1988-07-12,26.2,56280,1988,1
1988-07-13,27.0,56280,1988,1
1988-07-14,27.7,56280,1988,1
1988-07-15,25.6,56280,1988,1
1988-07-16,26.2,56280,1988,1
1988-07-17,25.6,56280,1988,1
1988-07-18,26.1,56280,1988,1
1988-07-19,27.0,56280,1988,1
1988-07-20,25.8,56280,1988,1
1988-07-21,26.7,56280,1988,1
1988-07-22,27.4,56280,1988,1
1988-07-23,24.4,56280,1988,1
1988-07-24,23.9,56280,1988,1
1988-07-25,23.6,56280,1988,1
1988-07-26,24.2,56280,1988,1
1988-07-27,26.0,56280,1988,1
1988-07-28,23.5,56280,1988,1
1988-07-29,24.5,56280,1988,1
1988-07-30,22.2,56280,1988,1
1988-07-31,22.8,56280,1988,1
1988-08-01,23.9,56280,1988,1
1988-08-02,23.6,56280,1988,1
1988-08-03,25.2,56280,1988,1
1988-08-04,24.2,56280,1988,1
1988-08-05,25.5,56280,1988,1
1988-08-06,24.9,56280,1988,1
1988-08-07,26.0,56280,1988,1
1988-08-08,22.5,56280,1988,1
1988-08-09,25.6,56280,1988,1
1988-08-10,25.6,56280,1988,1
1988-08-11,23.5,56280,1988,1
1988-08-12,23.8,56280,1988,1
1988-08-13,23.1,56280,1988,1
1988-08-14,21.3,56280,1988,1
1988-08-15,20.8,56280,1988,1
1988-08-16,23.7,56280,1988,1
1988-08-17,24.0,56280,1988,1
1988-08-18,22.9,56280,1988,1
1988-08-19,23.7,56280,1988,1
