Station_ID,year,cumumlate_thermal_PSP,cumumlate_photothermal
57523,1988,1012.5926312536501,12.248813310970469
57523,1989,866.1278622532345,10.47234630144474
57523,1990,835.4714178674943,10.067329830019542
57523,1991,881.2263762150978,10.62319377151679
57523,1992,927.9301853184991,11.236432836044267
57545,1985,1025.07406174402,12.566476889971012
57545,1986,1068.1379544113324,13.110181510505086
57545,1987,960.0876650118969,11.735423096087988
57545,1988,1121.7397386630018,13.770630982227763
57545,1989,890.3813229178471,10.993845982342252
57545,1990,875.5496635974575,10.676735846140645
57554,1986,981.7129790015881,12.043187210905716
57554,1987,951.2566244516973,11.667717984493299
57554,1988,1185.359230867646,14.652158800412499
57554,1989,1118.2812127769635,13.900951798601657
57581,1994,1092.8947479617045,13.51389204888882
57581,1995,1221.157863692651,15.301472465341051
57581,1996,1280.237716616353,16.289754648252867
