Station_ID,year,data_RGP,daily_thermal_RGP
56280,1988,1988-08-25,6.212848585615747
56280,1988,1988-08-26,6.862193253140945
56280,1988,1988-08-27,6.340486355877027
56280,1988,1988-08-28,8.526077660316183
56280,1988,1988-08-29,10.0090669161922
56280,1988,1988-08-30,9.857442575803459
56280,1988,1988-08-31,9.706500372411451
56280,1988,1988-09-01,9.10998592268158
56280,1988,1988-09-02,12.508664970897277
56280,1988,1988-09-03,13.148125216858908
56280,1988,1988-09-04,11.24388064571581
56280,1988,1988-09-05,11.873339298098111
56280,1988,1988-09-06,10.467808765108733
56280,1988,1988-09-07,7.67659130836702
56280,1988,1988-09-08,11.087627586905416
56280,1989,1989-08-05,11.873339298098111
56280,1989,1989-08-06,10.314272743523066
56280,1989,1989-08-07,16.026106575564103
56280,1989,1989-08-08,16.4974336812845
56280,1989,1989-08-09,16.026106575564103
56280,1989,1989-08-10,14.59247255424495
56280,1989,1989-08-11,15.072705211631767
56280,1989,1989-08-12,11.24388064571581
56280,1989,1989-08-13,13.789902043614031
56280,1989,1989-08-14,11.715358806624982
56280,1989,1989-08-15,14.59247255424495
56280,1989,1989-08-16,11.40060374649664
56280,1989,1989-08-17,11.873339298098111
56280,1989,1989-08-18,9.406749641756068
56280,1989,1989-08-19,9.10998592268158
56280,1989,1989-08-20,11.557771655825693
56280,1989,1989-08-21,11.557771655825693
56280,1989,1989-08-22,12.668211968890875
56280,1989,1989-08-23,11.24388064571581
56280,1989,1989-08-24,8.526077660316183
56280,1989,1989-08-25,7.401046309997264
56280,1989,1989-08-26,10.621935992911931
56280,1989,1989-08-27,13.950487017936789
56280,1989,1989-08-28,14.91281167146778
56280,1989,1989-08-29,13.789902043614031
56280,1989,1989-08-30,10.0090669161922
56280,1989,1989-08-31,11.873339298098111
