Station_ID,year,cumumlate_thermal_RGP
58027,1995,499.48059681492987
58027,1996,411.81040093524405
58027,1997,465.39191389252414
58141,1986,365.26399733265663
58141,1987,513.2857668722681
58141,1988,408.3692263521165
58141,1989,437.45109851159447
58141,1990,582.1251134464154
58141,1991,452.40656408872803
58141,1992,509.93185466674964
58141,1993,422.208620596567
58141,1994,572.5379529872463
58141,1995,462.55952412204687
58141,1996,401.4852155391474
58146,1990,724.2783294834488
58146,1991,515.7751121248655
58146,1992,522.3365822654677
58146,1993,500.17190521086417
58215,1990,546.3334880909789
58240,1986,581.4184427541418
58240,1987,627.356246712417
58240,1988,501.30723108953566
58240,1989,556.1144717212106
58240,1990,638.3993403887781
58240,1991,578.2696766585535
58240,1992,572.0955716764767
58240,1993,459.5972866679824
58240,1995,615.3503541238003
58240,1996,622.1748796034872
