Station_ID,year,cumumlate_thermal_PSP,cumumlate_photothermal,cumumlate_thermal_RGP
58836,1986,1187.354976,16.05843499,304.0071771
58836,1987,1133.53852,15.49688676,338.1724347
58836,1990,953.1564449,13.03994972,333.5542276
58836,1991,1067.358043,14.66303216,256.694063
59205,1986,984.2790727,12.77045929,406.4064748
59205,1987,1133.618966,14.84557457,507.3044299
59205,1988,1063.217283,13.74517886,375.834474
59205,1989,953.7979102,12.29541454,448.2222821
59205,1990,833.7732159,10.72840815,558.7700436
59205,1991,838.2805351,11.05069623,392.840818
59205,1992,938.2095852,12.14597973,390.7011194
59313,1986,1033.518242,14.78062752,383.4131781
59313,1986,685.5028747,9.071395461,605.8447198
59313,1987,693.3816673,9.304123708,585.0670546
59313,1987,1000.337715,14.26857415,493.2466596
59313,1988,891.2793798,11.73731855,624.4347646
59313,1989,876.7234183,11.59978961,528.0761589
59313,1989,969.721381,13.96443251,394.1265806
59313,1990,884.9712055,11.66408494,526.5171726
59313,1990,899.459027,12.97677542,448.2144737
59313,1993,771.8895722,10.24733674,600.1926719
59313,1993,948.639556,13.67670598,449.7052137
59757,1985,1108.849026,14.93152345,529.4348764
59757,1986,934.5744026,12.9956719,549.0749612
59757,1987,1038.565098,14.48505052,618.9531782
59757,1988,953.4617808,12.96245628,584.9375458
59757,1990,923.5683249,12.97071443,607.3955814
59757,1991,907.3324761,12.84273138,570.9175615
59849,1987,1027.358514,14.52452333,503.8153332
59849,1988,1009.017259,14.20563455,462.1106874
59849,1989,1127.705914,15.57124133,476.8523301
59849,1990,984.961281,13.89260121,499.9391419
59849,1991,1105.20913,15.3169822,471.4831791
59849,1992,937.9088174,13.2550626,419.165034
